judul,harga,durasi,genre,sutradara,rating,sinopsis,poster,poster2
ARCHER,20,86,Thriller,Valerie Weiss,SU,"Human child Mowgli is raised by a wolf pack in the jungles of India. As he learns the often harsh rules of the jungle, under the tutelage of a bear named Baloo and a panther named Bagheera, Mowgli becomes accepted by the animals of the jungle as one of their own, but the fearsome tiger Shere Khan doesn't take a liking to him. But there may be greater dangers lurking in the jungle, as Mowgli comes face to face with his human origins.",images/img poster/1.jpg,images/img poster/1.1.png
MOWGLI,30,104,Adventure,Andy Serkis,SU,"A human child raised by wolves must face off against a menacing tiger named Shere Khan, as well as his own origins.",images/img poster/2.jpg,images/img poster/2.1.png
JURASSIC WORLD DOMINION,40,147,Action,Colin Trevorrow,13+,"Four years after the destruction of Isla Nublar, dinosaurs now live and hunt alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with history's most fearsome creatures.",images/img poster/3.jpg,images/img poster/3.1.png
PENGABDI SETAN,40,107,Horror,Joko Anwar,17+,"After dying from a strange illness that she suffered for 3 years, a mother returns home to pick up her children.",images/img poster/4.jpg,images/img poster/4.1.png
KKN DESA PENARI,40,150,Horror,Awi Suryadi,17+,"Six students who had to carry out KKN in a remote village are warned not to cross the boundary of the forbidden gate that leading to the mysterious place that may related to the figure of a beautiful dancer who began to disturb them.",images/img poster/5.jpg,images/img poster/5.1.png
PEREMPUAN TANAH JAHANAM,40,106,Horror,Joko Anwar,17+,"Maya with her best friend, Dini, tries to survive in a city without a family. She realized that she might inherit a property from her rich family. Maya returns to the village with Dini and unaware of the danger was waiting for her.",images/img poster/6.jpg,images/img poster/6.1.png
MAD MAX,30,120,Action,Frank Rooke,13+,"Max Rockatansky, a former highway patrol officer known across the post apocalyptic wasteland of Australia as Mad Max, has his V8 Interceptor stolen by Immortan Joe's warlord son, Scrotus. Max goes on a bloody crusade to take it back.",images/img poster/7.jpg,images/img poster/7.1.png
SPIDERMAN,30,148,Action,Jon Watts,13+,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",images/img poster/8.jpg,images/img poster/8.1.png
INFINITY WAR,30,149,Action,Anthony Russo,13+,"The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.",images/img poster/9.jpg,images/img poster/9.1.png
KING KONG,30,187,Action,Peter Jackson,13+,"A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives.",images/img poster/10.jpg,images/img poster/10.1.png